Id,Symbol,Name,DisplaySymbol,Exchange,Portfolio,Currency,Quantity,Cost Per Share,Cost Basis Method,Commission,Date,TimeOfDay,PurchaseFX,Type,Method,Method Execution Ids,Notes        

"1","^DJI","Dow Jones Industrial Average",,"DJI","My Portfolio","USD",,,,,,,,,,,
        
"2","^DJI","Dow Jones Industrial Average",,"DJI","My Portfolio","USD",,,,,,,,,,,
        
"3","^DJI","Dow Jones Industrial Average",,"DJI","My Portfolio","USD",,,,,,,,,,,
        
"4","^DJI","Dow Jones Industrial Average",,"DJI","My Portfolio","USD",,,,,,,,,,,
        
"5","^GSPC","S&P 500",,"SNP","My Portfolio","USD",,,,,,,,,,,
        
"6","^GSPC","S&P 500",,"SNP","My Portfolio","USD",,,,,,,,,,,
        
"7","^GSPC","S&P 500",,"SNP","My Portfolio","USD",,,,,,,,,,,
        
"8","^GSPC","S&P 500",,"SNP","My Portfolio","USD",,,,,,,,,,,
        
"9","^IXIC","NASDAQ Composite",,"NIM","My Portfolio","USD",,,,,,,,,,,
        
"10","^IXIC","NASDAQ Composite",,"NIM","My Portfolio","USD",,,,,,,,,,,
        
"11","^IXIC","NASDAQ Composite",,"NIM","My Portfolio","USD",,,,,,,,,,,
        
"12","^IXIC","NASDAQ Composite",,"NIM","My Portfolio","USD",,,,,,,,,,,
        
"13","GOOG","Alphabet Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
        
"14","GOOG","Alphabet Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
        
"15","GOOG","Alphabet Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
"16","GOOG","Alphabet Inc.",,"NMS","My Portfolio","USD","10","300","0","0","2014-11-12 GMT+0100","19:00:15",,"Buy",,,
        
"17","GOOG","Alphabet Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
        
"18","AAPL","Apple Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
        
"19","AAPL","Apple Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
        
"20","AAPL","Apple Inc.",,"NMS","My Portfolio","USD",,,,,,,,,,,
        
